file_extension,file_size_mb,days_since_modified,days_since_accessed,duplicate_count,action_label
.pdf,40,17,17,0,KEEP
.png,104,42,66,2,REVIEW
.pdf,108,172,190,1,REVIEW
.pdf,12,275,279,3,CLEANUP
.txt,49,17,26,0,KEEP
.mp4,47,12,41,3,CLEANUP
.rar,8,149,165,2,REVIEW
.png,198,200,224,1,REVIEW
.mp4,143,59,84,0,KEEP
.json,47,288,297,3,CLEANUP
.json,151,282,302,1,CLEANUP
.json,14,335,355,2,KEEP
.tmp,176,328,345,2,CLEANUP
.json,82,223,252,3,CLEANUP
.rar,146,103,119,1,KEEP
.jpg,108,188,200,1,REVIEW
.rar,171,183,205,3,CLEANUP
.jpg,120,4,32,1,KEEP
.tmp,161,16,28,1,KEEP
.rar,194,311,313,1,CLEANUP
.csv,13,141,158,3,CLEANUP
.json,123,39,52,3,CLEANUP
.pdf,62,245,256,0,KEEP
.jpg,121,266,295,0,REVIEW
.log,84,65,94,0,CLEANUP
.pdf,142,158,175,3,CLEANUP
.png,37,153,168,0,KEEP
.json,73,305,329,3,CLEANUP
.pdf,187,293,321,0,CLEANUP
.pdf,198,295,318,2,CLEANUP
.json,11,62,74,1,KEEP
.docx,52,260,286,3,CLEANUP
.json,63,310,330,2,REVIEW
.jpg,74,107,108,0,KEEP
.docx,3,262,266,0,KEEP
.zip,177,9,11,3,CLEANUP
.csv,61,178,195,1,KEEP
.csv,3,160,162,1,KEEP
.zip,125,89,97,3,CLEANUP
.jpg,98,267,275,3,CLEANUP
.tmp,29,137,139,0,CLEANUP
.rar,170,9,23,3,CLEANUP
.json,139,226,249,3,CLEANUP
.log,72,251,255,3,CLEANUP
.mp4,198,37,64,3,CLEANUP
.zip,197,81,98,3,CLEANUP
.rar,62,349,367,1,REVIEW
.jpg,40,354,361,2,KEEP
.rar,33,262,285,2,REVIEW
.rar,92,353,379,2,REVIEW
.docx,13,363,375,0,KEEP
.json,100,191,217,1,KEEP
.docx,133,235,247,1,REVIEW
.mp4,31,23,32,1,KEEP
.txt,181,158,164,2,REVIEW
.pdf,2,206,218,0,KEEP
.tmp,194,224,236,1,CLEANUP
.tmp,17,360,361,3,CLEANUP
.pdf,109,163,178,1,KEEP
.tmp,199,74,82,3,CLEANUP
.rar,156,60,74,1,KEEP
.png,22,196,215,3,CLEANUP
.png,68,219,235,3,CLEANUP
.pdf,138,193,214,1,REVIEW
.pdf,50,270,284,0,KEEP
.mp4,180,7,35,2,REVIEW
.txt,111,79,97,2,REVIEW
.zip,26,226,254,3,CLEANUP
.mp4,141,39,53,2,REVIEW
.txt,75,288,289,2,REVIEW
.zip,22,27,29,0,KEEP
.csv,184,92,120,0,KEEP
.json,101,84,89,2,REVIEW
.tmp,131,257,282,3,CLEANUP
.png,162,163,179,0,KEEP
.png,18,271,282,3,CLEANUP
.jpg,60,145,173,0,KEEP
.docx,27,174,191,3,CLEANUP
.pdf,93,181,204,3,CLEANUP
.csv,148,46,60,0,KEEP
.pdf,199,273,302,3,CLEANUP
.docx,9,166,181,0,KEEP
.docx,117,344,351,2,REVIEW
.csv,72,277,294,1,KEEP
.log,110,95,100,3,CLEANUP
.zip,33,102,110,3,CLEANUP
.png,179,88,96,0,KEEP
.pdf,46,160,174,3,CLEANUP
.mp4,92,148,148,1,KEEP
.png,97,2,2,0,KEEP
.rar,158,77,96,1,KEEP
.log,194,166,172,1,CLEANUP
.zip,143,106,128,3,CLEANUP
.pdf,61,123,128,0,KEEP
.json,103,223,231,1,REVIEW
.json,72,178,205,1,KEEP
.txt,111,251,257,2,REVIEW
.rar,132,314,335,1,REVIEW
.mp4,127,297,324,1,REVIEW
.mp4,12,87,98,0,KEEP
.mp4,122,147,169,1,KEEP
.log,136,221,243,0,CLEANUP
.zip,51,300,317,1,REVIEW
.png,150,37,60,0,KEEP
.mp4,156,202,220,2,REVIEW
.docx,182,207,207,2,REVIEW
.mp4,94,213,238,0,KEEP
.rar,37,4,31,3,CLEANUP
.png,188,152,169,0,KEEP
.jpg,105,250,270,1,REVIEW
.mp4,66,335,336,3,CLEANUP
.mp4,170,243,261,1,REVIEW
.json,12,131,143,1,KEEP
.zip,143,225,227,1,REVIEW
.png,87,298,309,1,KEEP
.csv,119,293,297,1,REVIEW
.mp4,62,316,344,2,REVIEW
.jpg,84,130,136,1,KEEP
.zip,89,28,29,2,REVIEW
.zip,193,164,176,2,REVIEW
.mp4,139,10,12,1,KEEP
.docx,93,266,277,1,KEEP
.pdf,133,276,283,2,REVIEW
.json,57,64,85,3,CLEANUP
.log,107,175,179,3,CLEANUP
.mp4,120,44,67,3,CLEANUP
.rar,134,108,134,0,KEEP
.pdf,78,130,138,2,REVIEW
.docx,26,285,285,2,KEEP
.docx,59,325,325,0,KEEP
.jpg,12,276,296,1,KEEP
.csv,43,126,127,0,KEEP
.zip,185,39,62,2,REVIEW
.jpg,151,294,313,2,CLEANUP
.pdf,45,308,323,1,KEEP
.docx,119,8,25,0,KEEP
.pdf,8,157,162,0,KEEP
.csv,175,290,290,2,REVIEW
.csv,171,114,131,0,KEEP
.txt,47,232,248,3,CLEANUP
.pdf,89,302,305,0,KEEP
.jpg,31,142,162,3,CLEANUP
.zip,90,220,221,1,REVIEW
.jpg,63,73,73,0,KEEP
.csv,13,73,93,0,KEEP
.tmp,68,98,126,1,CLEANUP
.tmp,102,19,24,1,KEEP
.png,23,339,351,2,KEEP
.log,54,89,109,2,CLEANUP
.zip,199,143,163,2,REVIEW
.log,161,305,321,2,CLEANUP
.docx,11,355,362,1,KEEP
.zip,194,265,267,0,REVIEW
.rar,48,117,145,1,KEEP
.pdf,133,304,308,2,REVIEW
.jpg,15,43,58,2,KEEP
.txt,108,21,43,2,REVIEW
.pdf,47,117,144,2,KEEP
.docx,51,271,274,0,KEEP
.mp4,19,290,303,0,KEEP
.jpg,117,52,65,2,REVIEW
.json,156,291,298,3,CLEANUP
.pdf,158,146,147,0,KEEP
.csv,90,345,374,2,REVIEW
.pdf,108,74,80,0,KEEP
.docx,191,312,328,1,CLEANUP
.docx,184,36,55,3,CLEANUP
.pdf,54,172,195,0,KEEP
.zip,123,141,163,1,REVIEW
.txt,137,26,34,2,REVIEW
.jpg,122,121,149,1,KEEP
.json,49,154,180,0,KEEP
.tmp,152,19,22,3,CLEANUP
.zip,89,146,164,3,CLEANUP
.pdf,183,242,246,2,REVIEW
.docx,108,226,226,2,REVIEW
.jpg,150,293,307,2,REVIEW
.jpg,160,11,20,0,KEEP
.log,185,254,278,1,CLEANUP
.tmp,7,85,102,2,CLEANUP
.mp4,125,167,175,0,KEEP
.pdf,24,188,201,2,KEEP
.jpg,102,42,48,0,KEEP
.pdf,97,164,166,0,KEEP
.tmp,123,70,78,2,CLEANUP
.pdf,49,316,317,3,CLEANUP
.txt,27,160,180,3,CLEANUP
.rar,50,67,88,3,CLEANUP
.tmp,3,342,347,1,CLEANUP
.csv,2,102,118,2,KEEP
.png,30,116,123,1,KEEP
.jpg,36,333,361,2,KEEP
.png,55,208,217,1,KEEP
.mp4,55,12,28,3,CLEANUP
.zip,3,144,173,0,REVIEW
.pdf,115,104,125,0,KEEP
.png,108,321,345,1,REVIEW
.jpg,198,231,231,0,REVIEW
.txt,38,226,254,1,KEEP
.pdf,151,114,126,1,KEEP
.log,2,249,257,0,CLEANUP
.tmp,180,190,212,1,CLEANUP
.jpg,55,262,264,1,KEEP
.mp4,86,316,320,3,CLEANUP
.docx,49,42,47,1,KEEP
.zip,158,216,225,1,REVIEW
.png,67,336,342,3,CLEANUP
.txt,143,163,164,2,REVIEW
.zip,20,256,265,0,REVIEW
.jpg,54,289,292,2,REVIEW
.mp4,110,336,357,1,REVIEW
.docx,131,25,37,0,KEEP
.pdf,149,25,39,3,CLEANUP
.pdf,12,288,315,0,KEEP
.json,20,146,174,3,CLEANUP
.rar,160,349,359,1,CLEANUP
.jpg,151,287,305,0,CLEANUP
.txt,10,345,346,1,KEEP
.csv,159,56,70,0,KEEP
.mp4,137,99,119,0,KEEP
.txt,115,263,278,3,CLEANUP
.pdf,4,260,266,3,CLEANUP
.txt,103,308,336,3,CLEANUP
.zip,166,231,248,2,REVIEW
.txt,191,62,90,2,REVIEW
.log,92,14,20,0,KEEP
.log,133,183,184,1,CLEANUP
.mp4,79,149,158,2,REVIEW
.pdf,167,65,77,0,KEEP
.txt,181,338,342,0,CLEANUP
.pdf,188,191,211,3,CLEANUP
.tmp,117,282,311,3,CLEANUP
.rar,112,252,269,3,CLEANUP
.txt,180,42,62,1,KEEP
.rar,105,192,208,3,CLEANUP
.tmp,129,130,157,3,CLEANUP
.tmp,10,242,267,3,CLEANUP
.json,21,284,294,2,KEEP
.zip,187,214,221,0,REVIEW
.jpg,188,343,366,0,CLEANUP
.docx,160,87,91,3,CLEANUP
.pdf,87,43,43,0,KEEP
.txt,152,17,21,3,CLEANUP
.png,58,228,238,3,CLEANUP
.png,135,28,46,2,REVIEW
.mp4,5,350,371,3,CLEANUP
.pdf,138,38,52,3,CLEANUP
.jpg,81,223,230,3,CLEANUP
.docx,73,49,52,1,KEEP
.tmp,105,169,193,1,CLEANUP
.mp4,114,266,286,3,CLEANUP
.tmp,2,269,289,3,CLEANUP
.png,32,288,315,1,KEEP
.pdf,15,273,280,1,KEEP
.docx,153,315,328,3,CLEANUP
.log,114,278,297,1,CLEANUP
.json,172,288,306,1,CLEANUP
.pdf,149,122,151,2,REVIEW
.rar,12,233,247,1,REVIEW
.zip,149,126,133,1,REVIEW
.png,135,151,162,3,CLEANUP
.docx,86,150,160,0,KEEP
.json,29,269,286,1,KEEP
.pdf,180,283,300,2,REVIEW
.mp4,151,88,99,0,KEEP
.mp4,165,189,189,3,CLEANUP
.jpg,118,19,41,0,KEEP
.pdf,108,281,285,2,REVIEW
.docx,186,144,151,0,KEEP
.png,3,104,106,3,CLEANUP
.rar,98,10,30,3,CLEANUP
.txt,155,66,74,3,CLEANUP
.txt,164,86,95,1,KEEP
.txt,12,209,222,1,KEEP
.png,181,20,30,3,CLEANUP
.pdf,70,312,330,0,KEEP
.pdf,111,132,151,1,KEEP
.rar,154,293,298,0,REVIEW
.pdf,103,202,207,1,REVIEW
.log,57,20,36,2,REVIEW
.rar,14,3,26,0,KEEP
.jpg,55,254,277,1,KEEP
.jpg,147,159,186,3,CLEANUP
.tmp,63,211,232,3,CLEANUP
.log,30,314,319,0,CLEANUP
.txt,192,19,34,0,KEEP
.pdf,183,113,135,0,KEEP
.pdf,116,113,139,3,CLEANUP
.png,57,118,130,0,KEEP
.mp4,4,148,163,2,KEEP
.pdf,198,47,60,3,CLEANUP
.log,137,90,105,0,CLEANUP
.docx,61,138,155,2,REVIEW
.pdf,113,350,379,1,REVIEW
.tmp,81,51,71,2,CLEANUP
.tmp,46,69,97,3,CLEANUP
.docx,49,74,78,3,CLEANUP
.pdf,4,126,132,2,KEEP
.mp4,129,280,304,3,CLEANUP
.png,182,174,201,3,CLEANUP
.pdf,31,84,107,0,KEEP
.csv,158,364,373,1,CLEANUP
.pdf,135,163,185,3,CLEANUP
.txt,138,336,351,1,REVIEW
.mp4,70,44,52,0,KEEP
.rar,107,84,101,1,KEEP
.jpg,21,196,213,0,KEEP
.png,70,127,141,1,KEEP
.png,148,143,158,2,REVIEW
.log,154,142,166,0,CLEANUP
.csv,82,69,71,2,REVIEW
.docx,49,345,365,3,CLEANUP
.csv,189,161,178,0,KEEP
.docx,71,86,108,0,KEEP
.jpg,61,61,62,3,CLEANUP
.png,169,86,102,0,KEEP
.jpg,198,98,98,1,KEEP
.docx,2,22,37,0,KEEP
.zip,98,144,159,2,REVIEW
.zip,86,76,99,2,REVIEW
.jpg,188,59,68,2,REVIEW
.pdf,63,49,55,0,KEEP
.docx,127,68,81,3,CLEANUP
.jpg,120,232,252,2,REVIEW
.rar,92,270,296,0,REVIEW
.mp4,58,284,309,0,KEEP
.pdf,153,248,277,2,REVIEW
.json,97,42,61,2,REVIEW
.pdf,180,279,303,2,CLEANUP
.log,147,197,215,2,CLEANUP
.docx,74,8,31,3,CLEANUP
.txt,164,85,92,2,REVIEW
.zip,143,238,245,1,REVIEW
.docx,198,268,269,2,REVIEW
.jpg,109,259,285,1,REVIEW
.docx,161,220,220,2,REVIEW
.docx,101,176,186,0,REVIEW
.mp4,198,246,264,3,CLEANUP
.pdf,139,302,324,3,CLEANUP
.csv,109,21,50,0,KEEP
.tmp,156,102,127,2,CLEANUP
.zip,128,283,287,0,REVIEW
.pdf,196,281,300,1,REVIEW
.docx,133,227,255,3,CLEANUP
.rar,116,134,152,3,CLEANUP
.tmp,139,364,375,0,CLEANUP
.log,131,76,103,1,CLEANUP
.docx,21,156,179,1,KEEP
.pdf,163,180,181,0,REVIEW
.png,82,314,324,0,KEEP
.mp4,128,150,166,0,KEEP
.txt,94,271,297,2,REVIEW
.pdf,125,272,273,1,REVIEW
.tmp,156,47,53,1,CLEANUP
.rar,124,1,8,2,REVIEW
.tmp,191,67,70,1,CLEANUP
.jpg,38,143,163,2,KEEP
.png,181,302,321,1,CLEANUP
.json,145,39,47,2,REVIEW
.pdf,115,225,230,2,REVIEW
.pdf,187,91,92,3,CLEANUP
.log,142,100,120,3,CLEANUP
.pdf,147,30,43,2,REVIEW
.mp4,25,344,357,1,KEEP
.csv,150,83,96,2,REVIEW
.txt,19,201,228,3,CLEANUP
.csv,63,73,99,3,CLEANUP
.txt,19,120,125,0,KEEP
.jpg,168,286,294,3,CLEANUP
.jpg,52,89,102,2,REVIEW
.pdf,187,334,363,0,CLEANUP
.pdf,68,264,265,0,KEEP
.log,86,120,142,3,CLEANUP
.docx,113,158,169,2,REVIEW
.tmp,50,255,275,0,CLEANUP
.tmp,101,172,172,0,CLEANUP
.pdf,189,324,326,0,CLEANUP
.pdf,65,8,20,2,REVIEW
.mp4,76,76,89,2,REVIEW
.pdf,147,26,45,0,KEEP
.docx,21,307,312,3,CLEANUP
.txt,179,132,154,2,REVIEW
.pdf,4,76,88,2,KEEP
.zip,194,162,188,2,REVIEW
.csv,72,87,92,1,KEEP
.rar,145,61,72,1,KEEP
.pdf,136,362,362,0,REVIEW
.log,99,142,144,3,CLEANUP
.tmp,56,177,189,0,CLEANUP
.pdf,46,190,197,2,KEEP
.rar,97,90,96,0,KEEP
.mp4,192,318,327,2,CLEANUP
.pdf,9,344,348,0,KEEP
.jpg,88,277,295,2,REVIEW
.jpg,41,39,51,3,CLEANUP
.png,147,333,346,0,REVIEW
.log,108,19,30,3,CLEANUP
.json,109,268,296,3,CLEANUP
.tmp,90,103,130,1,CLEANUP
.png,153,347,360,2,CLEANUP
.png,175,215,231,2,REVIEW
.rar,146,324,353,0,REVIEW
.mp4,82,147,161,3,CLEANUP
.jpg,113,225,236,1,REVIEW
.tmp,41,258,286,0,CLEANUP
.zip,51,331,343,1,REVIEW
.jpg,51,118,126,0,KEEP
.docx,3,84,89,2,KEEP
.png,93,166,168,3,CLEANUP
.csv,2,81,89,1,KEEP
.jpg,65,311,323,2,REVIEW
.pdf,62,49,73,2,REVIEW
.txt,38,284,304,1,KEEP
.rar,164,99,111,2,REVIEW
.jpg,122,30,57,3,CLEANUP
.txt,195,195,222,3,CLEANUP
.json,63,23,30,2,REVIEW
.jpg,57,118,121,3,CLEANUP
.zip,167,290,313,3,CLEANUP
.mp4,196,56,56,0,KEEP
.json,19,157,166,3,CLEANUP
.log,163,126,136,0,CLEANUP
.pdf,64,325,332,1,KEEP
.rar,184,204,209,0,REVIEW
.pdf,113,325,354,3,CLEANUP
.csv,67,75,87,3,CLEANUP
.pdf,174,363,389,1,CLEANUP
.log,6,315,343,2,CLEANUP
.mp4,170,122,150,0,KEEP
.csv,101,35,57,1,KEEP
.jpg,113,285,297,2,REVIEW
.csv,145,109,124,1,KEEP
.jpg,165,305,317,1,CLEANUP
.docx,53,343,361,2,REVIEW
.tmp,160,109,127,1,CLEANUP
.pdf,174,21,32,2,REVIEW
.jpg,129,92,115,0,KEEP
.mp4,111,354,364,3,CLEANUP
.mp4,17,99,126,1,KEEP
.zip,152,250,268,0,REVIEW
.png,8,284,288,0,KEEP
.png,118,147,173,0,KEEP
.jpg,54,173,187,3,CLEANUP
.pdf,139,5,21,3,CLEANUP
.tmp,46,12,17,0,KEEP
.json,154,304,315,3,CLEANUP
.png,70,183,208,3,CLEANUP
.tmp,161,216,238,2,CLEANUP
.jpg,192,249,267,1,REVIEW
.png,181,219,236,3,CLEANUP
.txt,4,163,178,2,KEEP
.pdf,116,337,353,0,REVIEW
.tmp,72,147,152,2,CLEANUP
.mp4,13,189,211,3,CLEANUP
.png,22,349,370,2,KEEP
.rar,138,298,327,0,REVIEW
.log,194,169,192,2,CLEANUP
.docx,57,222,236,2,REVIEW
.csv,8,282,298,3,CLEANUP
.tmp,135,67,67,3,CLEANUP
.txt,1,37,49,3,CLEANUP
.json,188,128,136,2,REVIEW
.rar,35,194,201,2,REVIEW
.mp4,174,260,289,2,REVIEW
.pdf,99,72,74,1,KEEP
.txt,173,290,302,0,CLEANUP
.pdf,102,16,17,3,CLEANUP
.pdf,162,234,261,3,CLEANUP
